booking_id,airline,travel_year,travel_month,lead_time,adults,children,infants,country,agent,corporate_account,cabin_class,fare,is_cancelled,booking_channel,reservation_status,reservation_status_date,checked_bags,seat_changes
AL501425,Akasa Air,2025,April,64,1,0,0,SGP,50,,Economy,6988.92,0,Airport Counter,Check-Out,2025-05-18,3,2
AL506297,Air India,2025,January,44,2,1,0,ARE,245,,Business,21093.1,0,Travel Agent,Check-Out,2025-02-01,0,1
AL506032,SpiceJet,2026,July,110,1,NA,0,IND,81,,Economy,7856.99,0,Airport Counter,No-Show,2026-07-30,2,1
AL502655,SpiceJet,2024,August,95,1,0,0,IND,328,C643,Premium Economy,17438.28,0,Airport Counter,Check-Out,2024-09-30,2,2
AL502471,Air India,2024,January,63,1,1,0,NPL,281,,First,61285.81,0,Travel Agent,Check-Out,2024-02-08,3,2
AL503035,Vistara,2026,December,29,1,0,0,SGP,254,,Economy,7963.83,0,Travel Agent,Check-Out,2026-12-23,1,2
AL504547,Air India,2026,September,86,1,0,0,THA,,,Business,22953.7,0,Travel Agent,Check-Out,2026-09-26,0,1
AL505995,Vistara,2024,October,52,3,NA,0,GBR,178,,Economy,11814.2,0,Mobile App,Check-Out,2024-11-02,0,0
AL505244,Air India,2025,June,82,3,0,0,QAT,213,,Economy,8397.1,0,Corporate Desk,Check-Out,2025-06-23,2,1
AL507492,Vistara,2024,November,92,1,2,0,IND,285,,Premium Economy,13763.29,1,Mobile App,Canceled,2024-12-19,1,0
AL502308,IndiGo,2024,September,4,1,0,0,THA,257,,Economy,NA,0,Website,Check-Out,2024-09-28,0,2
AL508083,Air India,2025,June,38,2,0,0,ARE,322,,Economy,9646.24,0,Travel Agent,Check-Out,2025-07-17,1,2
AL503614,AirAsia India,2024,October,3,2,0,0,ARE,,,Economy,6738.57,0,Travel Agent,Check-Out,2024-11-12,0,1
AL504329,Vistara,2024,June,48,1,0,0,USA,135,,Premium Economy,19634.07,1,Corporate Desk,Canceled,2024-07-20,0,0
AL515041,Vistara,2025,April,7,1,0,0,IND,,,Economy,6654.62,1,Website,Canceled,2025-04-26,3,1
AL509572,Air India,2024,June,54,4,NA,0,IND,180,,Economy,3560.1,0,Website,Check-Out,2024-07-20,2,2
AL501511,Akasa Air,2025,October,50,2,0,0,IND,253,,Business,32506.56,1,Website,Canceled,2025-10-19,0,1
AL512684,Air India,2024,March,17,2,1,1,IND,222,,Business,34244.37,0,Airport Counter,Check-Out,2024-04-07,2,2
AL514801,Air India,2024,May,73,1,0,0,QAT,245,,Premium Economy,9866.53,0,Mobile App,Check-Out,2024-05-10,0,0
AL502792,Vistara,2024,November,69,1,0,0,,296,,Economy,11345.87,0,Website,Check-Out,2024-12-11,2,1
AL508876,AirAsia India,2024,July,58,1,0,0,IND,,,Economy,7610.97,1,Website,Canceled,2024-08-07,2,0
AL507781,Akasa Air,2024,December,136,2,0,0,NPL,249,,Economy,11365.74,0,Website,No-Show,2025-01-03,0,0
AL513763,Air India,2024,October,113,1,0,0,DEU,111,C223,Business,18558.18,0,Corporate Desk,Check-Out,2024-10-23,0,0
AL508523,IndiGo,2025,January,103,2,0,1,DEU,20,,Economy,4772.7,0,Airport Counter,Check-Out,2025-01-11,3,1
AL505837,Air India,2025,September,62,3,0,0,IND,321,,First,46660.1,1,Travel Agent,Canceled,2025-10-04,1,1
AL509474,Vistara,2025,August,93,1,0,0,NPL,330,,Premium Economy,9442.17,0,Mobile App,Check-Out,2025-08-29,0,0
AL513901,IndiGo,2026,May,90,1,0,0,ARE,217,,Economy,2789.15,0,Corporate Desk,Check-Out,2026-05-30,1,1
AL514685,IndiGo,2025,January,105,2,0,0,IND,80,,Economy,13265.16,1,Airport Counter,Canceled,2025-01-21,0,1
AL504611,SpiceJet,2025,June,47,1,0,0,ARE,98,,Economy,6451.04,0,Mobile App,Check-Out,2025-07-10,0,2
AL514290,SpiceJet,2026,November,51,2,0,1,ARE,26,,Premium Economy,13167.78,0,Website,Check-Out,2026-11-18,3,2
AL506562,Vistara,2026,September,48,2,1,0,GBR,103,,Economy,10883.53,0,Corporate Desk,Check-Out,2026-09-27,3,0
AL508532,Vistara,2026,February,70,1,0,0,ARE,271,,Economy,5439.29,1,Website,Canceled,2026-03-10,2,0
AL512352,SpiceJet,2026,November,48,1,0,0,IND,,,Premium Economy,18351.25,0,Corporate Desk,Check-Out,2026-12-06,0,0
AL503605,Vistara,2025,January,141,2,0,0,THA,157,,Economy,6898.54,0,Airport Counter,Check-Out,2025-01-20,1,0
AL505677,Vistara,2024,January,123,3,,0,ARE,139,,Economy,8762.07,0,Website,Check-Out,2024-02-14,3,2
