booking_id,rental_company,pickup_country,customer_segment,vehicle_class,booking_date,pickup_year,pickup_month,lead_time,rental_days,daily_rate,total_revenue,adults,children,is_cancelled,payment_type,loyalty_tier,insurance_opted,child_seat_requested
DN700000,RoadKing,GBR,Corporate,SUV,2025-12-02,2026,January,38,4,2789.57,11158.28,4,0,0,Credit Card,Silver,0,0
DN700001,DriveNow,DEU,Online TA,Sedan,2025-06-14,2025,September,81,7,1911.81,13382.67,2,0,0,Corporate Billing,None,0,0
DN700002,CityWheels,IND,Direct,SUV,2026-02-07,2026,May,90,2,3715.98,7431.96,1,1,0,Credit Card,None,0,1
DN700003,EcoRent,IND,Direct,SUV,2026-02-23,2026,April,51,4,4019.16,16076.64,1,0,0,Debit Card,Gold,0,0
DN700004,PrimeCars,FRA,Online TA,Sedan,2024-04-23,2024,August,106,3,2837.39,8512.17,1,0,0,UPI,None,1,0
DN700005,PrimeCars,IND,Direct,Sedan,2025-12-22,2026,January,11,5,2080.23,10401.15,2,0,0,UPI,Silver,0,1
DN700006,PrimeCars,IND,Online TA,Hatchback,2025-08-17,2025,August,10,9,1621.7,14595.3,5,0,0,UPI,None,1,0
DN700007,DriveNow,MYS,Corporate,SUV,2025-06-19,2025,August,45,3,5000.99,15002.97,5,0,0,UPI,Silver,0,0
DN700008,DriveNow,AUS,Corporate,Hatchback,2025-03-06,2025,April,51,8,1823.72,14589.76,2,0,0,Cash,None,0,0
DN700009,DriveNow,IND,Direct,Sedan,2025-10-25,2025,November,19,10,2830.61,28306.1,2,0,0,UPI,Gold,1,0
DN700010,CityWheels,SGP,Direct,Sedan,2025-03-15,2025,June,100,8,2382.33,19058.64,2,0,0,Corporate Billing,Silver,0,0
DN700011,DriveNow,GBR,Corporate,Premium SUV,2025-10-06,2025,October,22,7,5324.65,37272.55,2,0,0,Debit Card,Gold,0,0
DN700012,CityWheels,THA,Corporate,Premium SUV,2025-08-06,2025,October,80,4,4967.53,19870.12,2,0,0,Debit Card,None,0,0
DN700013,PrimeCars,IND,Corporate,Sedan,2025-07-10,2025,September,60,3,3008.21,9024.63,2,0,0,UPI,None,0,0
DN700014,RoadKing,GBR,Online TA,Premium SUV,2025-06-25,2025,July,32,7,4322.94,30260.58,3,2,1,Corporate Billing,None,1,0
DN700015,PrimeCars,IND,Offline TA/TO,Hatchback,2026-09-18,2026,October,26,1,1378.01,1378.01,2,0,1,UPI,None,1,1
DN700016,EcoRent,SGP,Loyalty Club,Sedan,2025-10-29,2025,November,25,10,3098.61,30986.1,1,1,0,Cash,None,0,0
DN700017,RoadKing,ARE,Direct,Sedan,2025-12-27,2026,March,69,1,2280.41,2280.41,1,0,0,Debit Card,Silver,0,0
DN700018,PrimeCars,USA,Corporate,Van,2024-05-02,2024,May,23,7,3809.92,26669.44,2,0,0,Corporate Billing,None,0,0
DN700019,RoadKing,ARE,Loyalty Club,Sedan,2024-08-07,2024,August,12,3,1750.87,5252.61,4,0,0,Debit Card,None,0,0
DN700020,EcoRent,AUS,Direct,Van,2025-08-20,2025,October,54,7,3510.14,24570.98,1,0,0,Cash,Silver,0,0
DN700021,DriveNow,IND,Corporate,Hatchback,2025-10-12,2026,January,98,5,1479.6,7398.0,1,3,1,Cash,None,0,0
DN700022,EcoRent,ARE,Online TA,Luxury,2025-04-17,2025,August,132,3,8829.16,26487.48,5,0,1,Cash,None,0,0
DN700023,DriveNow,FRA,Online TA,Sedan,2026-05-27,2026,July,36,10,1945.79,19457.9,2,0,0,Debit Card,Platinum,1,0
DN700024,CityWheels,ARE,Offline TA/TO,Van,2024-12-10,2024,December,14,2,2772.79,5545.58,3,0,0,Debit Card,Silver,0,0
DN700025,RoadKing,AUS,Offline TA/TO,SUV,2025-12-29,2026,April,107,2,3277.0,6554.0,1,0,1,UPI,None,0,0
DN700026,CityWheels,IND,Loyalty Club,Hatchback,2024-06-22,2024,July,36,2,2307.35,4614.7,2,0,0,Debit Card,Platinum,0,0
DN700027,EcoRent,GBR,Online TA,SUV,2024-07-29,2024,August,19,8,3847.99,30783.92,2,0,1,Credit Card,None,1,0
DN700028,PrimeCars,GBR,Offline TA/TO,Van,2025-04-21,2025,June,49,5,4406.42,22032.1,2,0,0,Credit Card,None,0,1
DN700029,DriveNow,GBR,Offline TA/TO,SUV,2025-08-28,2025,October,45,9,3354.57,30191.13,2,0,0,Credit Card,Platinum,0,0
DN700030,CityWheels,DEU,Direct,Sedan,2025-10-14,2025,November,20,9,1896.02,17064.18,2,1,0,Debit Card,None,0,1
DN700031,RoadKing,IND,Online TA,Van,2024-06-26,2024,July,19,7,3269.17,22884.19,1,0,0,Credit Card,Silver,0,1
DN700032,PrimeCars,IND,Direct,SUV,2025-02-19,2025,May,81,5,2740.15,13700.75,2,0,0,UPI,None,1,0
