DestinationID,DestinationName,City,StateProvince,Country,Region,Continent,DestinationType,Latitude,Longitude,CostIndex,PopularityIndex,IsDomestic
1,Goa Beaches,Panaji,Goa,India,South Asia,Asia,Beach,15.4909,73.8278,0.85,1.35,1
2,Jaipur Heritage Circuit,Jaipur,Rajasthan,India,South Asia,Asia,Heritage,26.9124,75.7873,0.75,1.2,1
3,Manali Hills,Manali,Himachal Pradesh,India,South Asia,Asia,Hill Station,32.2396,77.1887,0.7,1.15,1
4,Kerala Backwaters,Alappuzha,Kerala,India,South Asia,Asia,Nature,9.4981,76.3388,0.8,1.1,1
5,Andaman Islands,Port Blair,Andaman & Nicobar,India,South Asia,Asia,Island,11.6234,92.7265,1.15,0.7,1
6,Leh Ladakh Expedition,Leh,Ladakh,India,South Asia,Asia,Adventure,34.1526,77.5771,1.1,0.65,1
7,Varanasi Ghats,Varanasi,Uttar Pradesh,India,South Asia,Asia,Pilgrimage,25.3176,82.9739,0.55,0.9,1
8,Bali Retreat,Denpasar,Bali,Indonesia,South East Asia,Asia,Beach,-8.65,115.2167,1.2,1.25,0
9,Bangkok & Phuket,Bangkok,Bangkok,Thailand,South East Asia,Asia,City Break,13.7563,100.5018,1.05,1.3,0
10,Singapore City Break,Singapore,Singapore,Singapore,South East Asia,Asia,City Break,1.3521,103.8198,1.45,1.05,0
11,Dubai Desert & City,Dubai,Dubai,UAE,Middle East,Asia,City Break,25.2048,55.2708,1.55,1.2,0
12,Maldives Atolls,Male,Kaafu,Maldives,South Asia,Asia,Island,4.1755,73.5093,2.3,0.85,0
13,Kathmandu & Pokhara,Kathmandu,Bagmati,Nepal,South Asia,Asia,Adventure,27.7172,85.324,0.7,0.75,0
14,Colombo & Kandy,Colombo,Western,Sri Lanka,South Asia,Asia,Heritage,6.9271,79.8612,0.8,0.7,0
15,Paris & Loire Valley,Paris,Ile-de-France,France,Western Europe,Europe,City Break,48.8566,2.3522,1.95,0.95,0
16,Swiss Alps Tour,Interlaken,Bern,Switzerland,Western Europe,Europe,Hill Station,46.6863,7.8632,2.4,0.8,0
17,Rome & Amalfi Coast,Rome,Lazio,Italy,Southern Europe,Europe,Heritage,41.9028,12.4964,1.85,0.9,0
18,London Explorer,London,England,United Kingdom,Western Europe,Europe,City Break,51.5074,-0.1278,2.05,0.85,0
19,Santorini Islands,Thira,South Aegean,Greece,Southern Europe,Europe,Island,36.3932,25.4615,1.75,0.75,0
20,Iceland Northern Lights,Reykjavik,Capital Region,Iceland,Northern Europe,Europe,Nature,64.1466,-21.9426,2.2,0.55,0
21,New York City Break,New York,New York,USA,North America,North America,City Break,40.7128,-74.006,2.1,0.8,0
22,Grand Canyon Trail,Flagstaff,Arizona,USA,North America,North America,Adventure,35.1983,-111.6513,1.7,0.6,0
23,Toronto & Niagara,Toronto,Ontario,Canada,North America,North America,Nature,43.6532,-79.3832,1.65,0.6,0
24,Cancun Riviera,Cancun,Quintana Roo,Mexico,Latin America,North America,Beach,21.1619,-86.8515,1.4,0.7,0
25,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,Brazil,Latin America,South America,City Break,-22.9068,-43.1729,1.3,0.5,0
26,Machu Picchu Trek,Cusco,Cusco,Peru,Latin America,South America,Adventure,-13.5319,-71.9675,1.35,0.45,0
27,Cape Town & Safari,Cape Town,Western Cape,South Africa,Africa,Africa,Wildlife,-33.9249,18.4241,1.5,0.55,0
28,Serengeti Safari,Arusha,Arusha,Tanzania,Africa,Africa,Wildlife,-3.3869,36.683,1.8,0.4,0
29,Cairo & Nile Cruise,Cairo,Cairo,Egypt,Africa,Africa,Heritage,30.0444,31.2357,1.25,0.6,0
30,Sydney & Great Barrier Reef,Sydney,New South Wales,Australia,Oceania,Oceania,Beach,-33.8688,151.2093,2.0,0.65,0
31,Queenstown Adventure,Queenstown,Otago,New Zealand,Oceania,Oceania,Adventure,-45.0312,168.6626,1.9,0.45,0
32,Tokyo & Kyoto,Tokyo,Tokyo,Japan,East Asia,Asia,City Break,35.6762,139.6503,1.95,0.9,0
