TransportID,TransportType,Carrier,TravelClass,CostFactor,IsInternationalCapable
1,Flight,IndiGo,Economy,1.0,1
2,Flight,Air India,Economy,1.1,1
3,Flight,Air India,Business,2.9,1
4,Flight,Emirates,Economy,1.35,1
5,Flight,Emirates,Business,3.6,1
6,Flight,Singapore Airlines,Economy,1.4,1
7,Flight,Lufthansa,Economy,1.3,1
8,Flight,Qatar Airways,Business,3.4,1
9,Train,Indian Railways,AC 2-Tier,0.35,0
10,Train,Indian Railways,AC 3-Tier,0.25,0
11,Train,Eurail,First Class,0.95,0
12,Train,Shinkansen,Standard,0.85,0
13,Bus,Volvo Coach,Semi-Sleeper,0.18,0
14,Bus,State Transport,Standard,0.1,0
15,Car Rental,Zoomcar,SUV,0.55,0
16,Car Rental,Hertz,Sedan,0.65,0
17,Cruise,Cordelia Cruises,Cabin,1.8,1
18,Ferry,Makruzz,Premium,0.3,0
